Set	Gene	RGR	R2adj	RMSE	DW_final	FW_final	effect	comment
1	AT5G35170	NaN	NaN	NaN	0.0045	0.0470	neg. Control	only rep 2 (rep 1, 3 and 4 no germination)
1	AT3G59890	0.0056	0.9887	0.8722	0.0084	0.0910	Reduced growth at 17 °C	only rep 1 and 2 (rep 3 died, rep 4 no germination)
1	AT3G59890	0.0037	0.9468	1.3385	0.0084	0.0910	Reduced growth at 17 °C	only rep 1 and 2 (rep 3 died, rep 4 no germination)
1	AT3G59890	NaN	NaN	NaN	0.0084	0.0910	Reduced growth at 17 °C	only rep 1 and 2 (rep 3 died, rep 4 no germination)
1	AT3G59890	NaN	NaN	NaN	0.0084	0.0910	Reduced growth at 17 °C	only rep 1 and 2 (rep 3 died, rep 4 no germination)
1	AT5G62530	0.0049	0.9835	1.2869	0.0279	0.2680	neg. Control	
1	AT5G62530	0.0053	0.9901	0.9490	0.0279	0.2680	neg. Control	
1	AT5G62530	0.0043	0.9871	0.8370	0.0279	0.2680	neg. Control	
1	AT5G62530	0.0054	0.9350	2.6657	0.0279	0.2680	neg. Control	
1	AT5G35170	0.0047	0.9853	1.0878	0.0209	0.2080	neg. Control	only rep 1, 2 and 3 (rep 4, late germination and visually smaller)
1	AT5G35170	0.0052	0.9900	1.0217	0.0209	0.2080	neg. Control	only rep 1, 2 and 3 (rep 4, late germination and visually smaller)
1	AT5G35170	0.0057	0.9861	1.1043	0.0209	0.2080	neg. Control	only rep 1, 2 and 3 (rep 4, late germination and visually smaller)
1	AT5G35170	NaN	NaN	NaN	0.0209	0.2080	neg. Control	only rep 1, 2 and 3 (rep 4, late germination and visually smaller)
1	AT1G23730	0.0056	0.9950	0.7133	0.0248	0.2400	neg. Control	
1	AT1G23730	0.0056	0.9880	0.9427	0.0248	0.2400	neg. Control	
1	AT1G23730	0.0058	0.9945	0.7034	0.0248	0.2400	neg. Control	
1	AT1G23730	0.0059	0.9944	0.8130	0.0248	0.2400	neg. Control	
1	AT3G22360	0.0059	0.9933	0.8128	0.0295	0.3060	Reduced growth at 17 °C	
1	AT3G22360	0.0058	0.9906	0.9495	0.0295	0.3060	Reduced growth at 17 °C	
1	AT3G22360	0.0048	0.9806	1.3653	0.0295	0.3060	Reduced growth at 17 °C	
1	AT3G22360	0.0048	0.9966	0.5842	0.0295	0.3060	Reduced growth at 17 °C	
1	AT1G17290	0.0050	0.9749	2.2180	0.0368	0.3730	neg. Control	
1	AT1G17290	0.0047	0.9873	0.8729	0.0368	0.3730	neg. Control	
1	AT1G17290	0.0056	0.9684	2.5916	0.0368	0.3730	neg. Control	
1	AT1G17290	0.0045	0.9939	0.5338	0.0368	0.3730	neg. Control	
1	AT2G41880	0.0057	0.9632	1.2559	0.0262	0.2660	Reduced growth at 17 °C	
1	AT2G41880	0.0050	0.9939	0.6720	0.0262	0.2660	Reduced growth at 17 °C	
1	AT2G41880	0.0054	0.9822	1.6152	0.0262	0.2660	Reduced growth at 17 °C	
1	AT2G41880	0.0040	0.9887	0.8118	0.0262	0.2660	Reduced growth at 17 °C	
1	AT3G23580	0.0067	0.9741	1.5319	0.0210	0.2110	neg. Control	
1	AT3G23580	0.0048	0.9830	1.2029	0.0210	0.2110	neg. Control	
1	AT3G23580	0.0053	0.9977	0.4814	0.0210	0.2110	neg. Control	
1	AT3G23580	0.0067	0.9825	1.2752	0.0210	0.2110	neg. Control	
1	AT5G35170	NaN	NaN	NaN	0.0090	0.0860	neg. Control	only rep 3 and 4 (rep 1 and 2 no germination)
1	AT5G35170	NaN	NaN	NaN	0.0090	0.0860	neg. Control	only rep 3 and 4 (rep 1 and 2 no germination)
1	AT5G35170	0.0056	0.9921	0.7673	0.0090	0.0860	neg. Control	only rep 3 and 4 (rep 1 and 2 no germination)
1	AT5G35170	0.0058	0.9594	1.6435	0.0090	0.0860	neg. Control	only rep 3 and 4 (rep 1 and 2 no germination)
1	WT	0.0049	0.9765	2.0428	0.0510	0.4980	na	
1	WT	0.0042	0.9599	2.1011	0.0510	0.4980	na	
1	WT	0.0039	0.9818	1.5431	0.0510	0.4980	na	
1	WT	0.0042	0.9737	1.8387	0.0510	0.4980	na	
1	AT1G23190	0.0055	0.9725	2.0161	0.0240	0.2480	neg. Control	only rep 1, 2 and 3 (rep 4 purple abaxial and small)
1	AT1G23190	0.0054	0.9951	0.6523	0.0240	0.2480	neg. Control	only rep 1, 2 and 3 (rep 4 purple abaxial and small)
1	AT1G23190	0.0043	0.9463	1.8981	0.0240	0.2480	neg. Control	only rep 1, 2 and 3 (rep 4 purple abaxial and small)
1	AT1G23190	NaN	NaN	NaN	0.0240	0.2480	neg. Control	only rep 1, 2 and 3 (rep 4 purple abaxial and small)
1	AT2G41880	0.0050	0.9662	2.1854	0.0299	0.2950	Reduced growth at 17 °C	
1	AT2G41880	0.0061	0.9349	1.4908	0.0299	0.2950	Reduced growth at 17 °C	
1	AT2G41880	0.0051	0.9763	1.8032	0.0299	0.2950	Reduced growth at 17 °C	
1	AT2G41880	0.0054	0.9974	0.5283	0.0299	0.2950	Reduced growth at 17 °C	
1	AT5G62530	0.0046	0.9898	1.0974	0.0254	0.2500	neg. Control	only rep 1, 2 and 3 (rep 4 not well rooted)
1	AT5G62530	0.0050	0.9856	1.1755	0.0254	0.2500	neg. Control	only rep 1, 2 and 3 (rep 4 not well rooted)
1	AT5G62530	0.0045	0.9460	2.2199	0.0254	0.2500	neg. Control	only rep 1, 2 and 3 (rep 4 not well rooted)
1	AT5G62530	0.0039	0.8013	2.2096	0.0254	0.2500	neg. Control	only rep 1, 2 and 3 (rep 4 not well rooted)
1	AT5G38710	0.0052	0.9466	2.4836	0.0304	0.3040	neg. Control	
1	AT5G38710	0.0057	0.9612	2.3674	0.0304	0.3040	neg. Control	
1	AT5G38710	0.0049	0.9791	1.6011	0.0304	0.3040	neg. Control	
1	AT5G38710	0.0040	0.9509	1.5303	0.0304	0.3040	neg. Control	
1	AT3G59890	0.0061	0.9807	0.9988	0.0093	0.0920	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 no germination)
1	AT3G59890	0.0039	0.9304	0.8392	0.0093	0.0920	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 no germination)
1	AT3G59890	NaN	NaN	NaN	0.0093	0.0920	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 no germination)
1	AT3G59890	0.0056	0.9387	2.3882	0.0093	0.0920	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 no germination)
1	WT	0.0057	0.9937	0.9626	0.0410	0.4330	na	
1	WT	0.0048	0.9819	1.3976	0.0410	0.4330	na	
1	WT	0.0052	0.9837	1.4670	0.0410	0.4330	na	
1	WT	0.0052	0.9605	2.6181	0.0410	0.4330	na	
1	AT4G28220	0.0055	0.9407	1.1949	0.0218	0.2220	neg. Control	
1	AT4G28220	0.0049	0.9566	1.9658	0.0218	0.2220	neg. Control	
1	AT4G28220	0.0052	0.9678	1.7090	0.0218	0.2220	neg. Control	
1	AT4G28220	0.0049	0.9888	0.9502	0.0218	0.2220	neg. Control	
1	AT2G02010	0.0054	0.9903	0.7166	0.0222	0.2240	neg. Control	only rep 1, 2 and 3 (rep 4 no germination)
1	AT2G02010	0.0040	0.9585	1.7025	0.0222	0.2240	neg. Control	only rep 1, 2 and 3 (rep 4 no germination)
1	AT2G02010	0.0044	0.9639	1.9188	0.0222	0.2240	neg. Control	only rep 1, 2 and 3 (rep 4 no germination)
1	AT2G02010	NaN	NaN	NaN	0.0222	0.2240	neg. Control	only rep 1, 2 and 3 (rep 4 no germination)
1	AT1G23190	0.0048	0.9731	1.7375	0.0264	0.2810	neg. Control	
1	AT1G23190	0.0038	0.9620	0.9276	0.0264	0.2810	neg. Control	
1	AT1G23190	0.0052	0.9783	1.7234	0.0264	0.2810	neg. Control	
1	AT1G23190	0.0050	0.9690	1.6096	0.0264	0.2810	neg. Control	
1	AT1G23730	0.0061	0.9585	1.3549	0.0133	0.1480	neg. Control	only rep 1 and 2 (rep 3 died, rep 4 abaxial side purple)
1	AT1G23730	0.0054	0.9489	2.9898	0.0133	0.1480	neg. Control	only rep 1 and 2 (rep 3 died, rep 4 abaxial side purple)
1	AT1G23730	NaN	NaN	NaN	0.0133	0.1480	neg. Control	only rep 1 and 2 (rep 3 died, rep 4 abaxial side purple)
1	AT1G23730	0.0010	0.7597	0.3474	0.0133	0.1480	neg. Control	only rep 1 and 2 (rep 3 died, rep 4 abaxial side purple)
1	AT5G62530	0.0055	0.9502	2.0374	0.0269	0.2740	neg. Control	
1	AT5G62530	0.0059	0.9913	0.8725	0.0269	0.2740	neg. Control	
1	AT5G62530	0.0049	0.9909	0.8245	0.0269	0.2740	neg. Control	
1	AT5G62530	0.0057	0.9885	1.3637	0.0269	0.2740	neg. Control	
1	AT5G38710	0.0061	0.9499	2.9470	0.0236	0.2420	neg. Control	
1	AT5G38710	0.0054	0.9693	1.6825	0.0236	0.2420	neg. Control	
1	AT5G38710	0.0053	0.9790	1.3374	0.0236	0.2420	neg. Control	
1	AT5G38710	0.0054	0.9766	1.4839	0.0236	0.2420	neg. Control	
1	AT2G21940	0.0049	0.9544	2.1866	0.0307	0.3040	neg. Control	
1	AT2G21940	0.0054	0.9553	2.4070	0.0307	0.3040	neg. Control	
1	AT2G21940	0.0049	0.9935	0.7832	0.0307	0.3040	neg. Control	
1	AT2G21940	0.0054	0.9756	1.6369	0.0307	0.3040	neg. Control	
1	AT4G18440	0.0051	0.9878	1.0491	0.0325	0.3260	Reduced growth at 27 °C	
1	AT4G18440	0.0041	0.9789	1.3674	0.0325	0.3260	Reduced growth at 27 °C	
1	AT4G18440	0.0042	0.9497	2.3442	0.0325	0.3260	Reduced growth at 27 °C	
1	AT4G18440	0.0049	0.9541	1.7028	0.0325	0.3260	Reduced growth at 27 °C	
1	AT5G62530	0.0047	0.9859	1.1274	0.0408	0.4110	neg. Control	
1	AT5G62530	0.0045	0.9849	1.5483	0.0408	0.4110	neg. Control	
1	AT5G62530	0.0040	0.9755	1.5679	0.0408	0.4110	neg. Control	
1	AT5G62530	0.0047	0.9565	2.1332	0.0408	0.4110	neg. Control	
1	AT3G59890	0.0046	0.9568	1.7972	0.0299	0.2850	Reduced growth at 17 °C	
1	AT3G59890	0.0046	0.9747	1.4857	0.0299	0.2850	Reduced growth at 17 °C	
1	AT3G59890	0.0049	0.9832	1.6884	0.0299	0.2850	Reduced growth at 17 °C	
1	AT3G59890	0.0047	0.9624	1.6402	0.0299	0.2850	Reduced growth at 17 °C	
1	AT2G21940	0.0046	0.9747	1.6705	0.0345	0.3410	neg. Control	
1	AT2G21940	0.0049	0.9872	1.1802	0.0345	0.3410	neg. Control	
1	AT2G21940	0.0043	0.9388	1.3023	0.0345	0.3410	neg. Control	
1	AT2G21940	0.0040	0.9697	1.7376	0.0345	0.3410	neg. Control	
1	AT5G26780	0.0055	0.9933	0.9704	0.0342	0.3380	Reduced growth at 17 °C	
1	AT5G26780	0.0056	0.9875	1.2798	0.0342	0.3380	Reduced growth at 17 °C	
1	AT5G26780	0.0051	0.9512	2.4841	0.0342	0.3380	Reduced growth at 17 °C	
1	AT5G26780	0.0053	0.9668	2.0211	0.0342	0.3380	Reduced growth at 17 °C	
1	WT	0.0055	0.9685	1.5478	0.0394	0.4010	na	
1	WT	0.0049	0.9455	2.6522	0.0394	0.4010	na	
1	WT	0.0049	0.9600	2.7844	0.0394	0.4010	na	
1	WT	0.0049	0.9557	2.4458	0.0394	0.4010	na	
1	AT5G26780	0.0043	0.9608	2.1047	0.0352	0.3490	Reduced growth at 17 °C	
1	AT5G26780	0.0056	0.9697	1.9777	0.0352	0.3490	Reduced growth at 17 °C	
1	AT5G26780	0.0048	0.9883	1.1167	0.0352	0.3490	Reduced growth at 17 °C	
1	AT5G26780	0.0044	0.9896	0.8852	0.0352	0.3490	Reduced growth at 17 °C	
1	AT1G62960	0.0052	0.9666	0.5793	0.0142	0.1380	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0049	0.9715	1.7299	0.0142	0.1380	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0052	0.9227	1.6847	0.0142	0.1380	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0064	0.9844	0.8308	0.0142	0.1380	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT2G21940	0.0045	0.9544	2.1514	0.0412	0.4330	neg. Control	
1	AT2G21940	0.0051	0.9868	1.4088	0.0412	0.4330	neg. Control	
1	AT2G21940	0.0047	0.9846	1.5660	0.0412	0.4330	neg. Control	
1	AT2G21940	0.0042	0.9837	1.2870	0.0412	0.4330	neg. Control	
1	AT5G26780	0.0046	0.8589	3.0732	0.0198	0.1910	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination)
1	AT5G26780	NaN	NaN	NaN	0.0198	0.1910	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination)
1	AT5G26780	0.0052	0.9856	1.2317	0.0198	0.1910	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination)
1	AT5G26780	0.0046	0.9684	1.5030	0.0198	0.1910	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination)
1	AT4G28220	0.0046	0.9770	1.3815	0.0251	0.2530	neg. Control	
1	AT4G28220	0.0047	0.9763	1.1473	0.0251	0.2530	neg. Control	
1	AT4G28220	0.0043	0.9502	1.5671	0.0251	0.2530	neg. Control	
1	AT4G28220	0.0050	0.9873	1.1830	0.0251	0.2530	neg. Control	
1	AT1G62960	0.0042	0.9323	2.0277	0.0158	0.1590	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0048	0.9075	1.9466	0.0158	0.1590	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0026	0.9440	0.7159	0.0158	0.1590	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT1G62960	0.0049	0.9918	0.7762	0.0158	0.1590	neg. Control	Philipp: not considered, repeated in dataRAW4th
1	AT3G22360	0.0050	0.9454	2.0900	0.0168	0.1690	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 malformed meristem)
1	AT3G22360	0.0049	0.9656	1.7375	0.0168	0.1690	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 malformed meristem)
1	AT3G22360	NaN	NaN	NaN	0.0168	0.1690	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 malformed meristem)
1	AT3G22360	0.0054	0.9267	2.2986	0.0168	0.1690	Reduced growth at 17 °C	only rep 1, 2 and 4 (rep 3 malformed meristem)
1	AT3G23580	0.0050	0.9971	0.3605	0.0235	0.2380	neg. Control	
1	AT3G23580	0.0058	0.9899	0.6739	0.0235	0.2380	neg. Control	
1	AT3G23580	0.0044	0.9522	2.2612	0.0235	0.2380	neg. Control	
1	AT3G23580	0.0044	0.9454	2.2647	0.0235	0.2380	neg. Control	
1	AT1G23730	0.0050	0.9781	1.2649	0.0269	0.2670	neg. Control	
1	AT1G23730	0.0049	0.9842	1.0004	0.0269	0.2670	neg. Control	
1	AT1G23730	0.0055	0.9638	2.1426	0.0269	0.2670	neg. Control	
1	AT1G23730	0.0050	0.9633	2.0133	0.0269	0.2670	neg. Control	
1	AT1G23190	NaN	NaN	NaN	0.0140	0.1410	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT1G23190	0.0047	0.9685	1.9363	0.0140	0.1410	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT1G23190	0.0050	0.9898	0.7319	0.0140	0.1410	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT1G23190	0.0053	0.9658	0.8454	0.0140	0.1410	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT3G59890	0.0043	0.9103	0.5278	0.0030	0.0260	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination). Reps 1 and 3 little purple abaxial but still included.
1	AT3G59890	NaN	NaN	NaN	0.0030	0.0260	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination). Reps 1 and 3 little purple abaxial but still included.
1	AT3G59890	0.0055	0.9789	0.4188	0.0030	0.0260	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination). Reps 1 and 3 little purple abaxial but still included.
1	AT3G59890	0.0047	0.9564	1.0760	0.0030	0.0260	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 no germination). Reps 1 and 3 little purple abaxial but still included.
1	AT2G02010	0.0041	0.9771	1.5467	0.0341	0.3490	neg. Control	
1	AT2G02010	0.0043	0.9427	1.9736	0.0341	0.3490	neg. Control	
1	AT2G02010	0.0045	0.9937	0.9878	0.0341	0.3490	neg. Control	
1	AT2G02010	0.0051	0.9256	2.2205	0.0341	0.3490	neg. Control	
1	AT3G23580	0.0046	0.9908	0.9183	0.0330	0.3430	neg. Control	
1	AT3G23580	0.0044	0.9752	1.5834	0.0330	0.3430	neg. Control	
1	AT3G23580	0.0051	0.9637	2.5982	0.0330	0.3430	neg. Control	
1	AT3G23580	0.0054	0.9576	2.3475	0.0330	0.3430	neg. Control	
1	AT2G21940	0.0056	0.9887	0.9227	0.0309	0.3110	neg. Control	
1	AT2G21940	0.0058	0.9715	2.0821	0.0309	0.3110	neg. Control	
1	AT2G21940	0.0048	0.9697	1.9596	0.0309	0.3110	neg. Control	
1	AT2G21940	0.0052	0.9935	0.8315	0.0309	0.3110	neg. Control	
1	AT4G18440	0.0049	0.9662	2.0977	0.0327	0.3260	Reduced growth at 27 °C	
1	AT4G18440	0.0046	0.9777	1.7055	0.0327	0.3260	Reduced growth at 27 °C	
1	AT4G18440	0.0057	0.9735	1.4988	0.0327	0.3260	Reduced growth at 27 °C	
1	AT4G18440	0.0054	0.9809	1.5329	0.0327	0.3260	Reduced growth at 27 °C	
1	AT2G02010	0.0051	0.9781	1.8507	0.0271	0.2770	neg. Control	
1	AT2G02010	0.0046	0.9894	1.0332	0.0271	0.2770	neg. Control	
1	AT2G02010	0.0046	0.9632	1.6390	0.0271	0.2770	neg. Control	
1	AT2G02010	0.0050	0.9912	0.6023	0.0271	0.2770	neg. Control	
1	AT3G22360	0.0046	0.9546	2.2334	0.0343	0.3450	Reduced growth at 17 °C	
1	AT3G22360	0.0049	0.9782	1.7008	0.0343	0.3450	Reduced growth at 17 °C	
1	AT3G22360	0.0046	0.9874	1.2474	0.0343	0.3450	Reduced growth at 17 °C	
1	AT3G22360	0.0044	0.9418	2.1422	0.0343	0.3450	Reduced growth at 17 °C	
1	AT4G28220	0.0050	0.9605	2.3612	0.0330	0.3370	neg. Control	
1	AT4G28220	0.0040	0.9504	2.0588	0.0330	0.3370	neg. Control	
1	AT4G28220	0.0043	0.9836	1.3873	0.0330	0.3370	neg. Control	
1	AT4G28220	0.0046	0.9565	1.7186	0.0330	0.3370	neg. Control	
1	AT3G22360	0.0051	0.9829	1.6604	0.0282	0.2990	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 visually small and early leaf die off)
1	AT3G22360	0.0029	0.8318	0.7861	0.0282	0.2990	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 visually small and early leaf die off)
1	AT3G22360	0.0048	0.9528	2.6857	0.0282	0.2990	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 visually small and early leaf die off)
1	AT3G22360	0.0042	0.9843	1.1931	0.0282	0.2990	Reduced growth at 17 °C	only rep 1, 3 and 4 (rep 2 visually small and early leaf die off)
1	AT3G23580	0.0045	0.9360	2.8581	0.0266	0.2750	neg. Control	
1	AT3G23580	0.0049	0.9841	1.0137	0.0266	0.2750	neg. Control	
1	AT3G23580	0.0046	0.9565	2.3162	0.0266	0.2750	neg. Control	
1	AT3G23580	0.0048	0.9929	0.7081	0.0266	0.2750	neg. Control	
1	AT1G23190	NaN	NaN	NaN	0.0170	0.1730	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT1G23190	0.0054	0.9855	1.1394	0.0170	0.1730	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT1G23190	0.0050	0.9878	1.0135	0.0170	0.1730	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT1G23190	0.0055	0.9919	0.8203	0.0170	0.1730	neg. Control	only rep 2, 3 and 4 (rep 1 malformed meristem)
1	AT1G17290	0.0048	0.9896	1.1526	0.0333	0.3540	neg. Control	
1	AT1G17290	0.0054	0.9560	1.4631	0.0333	0.3540	neg. Control	
1	AT1G17290	0.0049	0.9844	1.5067	0.0333	0.3540	neg. Control	
1	AT1G17290	0.0055	0.9771	1.7432	0.0333	0.3540	neg. Control	
1	AT4G18440	0.0044	0.9841	1.1540	0.0435	0.4550	Reduced growth at 27 °C	
1	AT4G18440	0.0052	0.9876	1.4913	0.0435	0.4550	Reduced growth at 27 °C	
1	AT4G18440	0.0049	0.9784	1.7432	0.0435	0.4550	Reduced growth at 27 °C	
1	AT4G18440	0.0049	0.9777	1.8931	0.0435	0.4550	Reduced growth at 27 °C	
1	AT2G02010	0.0051	0.9659	2.0542	0.0299	0.3100	neg. Control	
1	AT2G02010	0.0059	0.9868	0.7116	0.0299	0.3100	neg. Control	
1	AT2G02010	0.0049	0.9830	1.8720	0.0299	0.3100	neg. Control	
1	AT2G02010	0.0046	0.9918	0.7340	0.0299	0.3100	neg. Control	
1	AT5G38710	0.0038	0.9870	1.1185	0.0427	0.4470	neg. Control	
1	AT5G38710	0.0040	0.9698	1.9508	0.0427	0.4470	neg. Control	
1	AT5G38710	0.0041	0.9690	1.7741	0.0427	0.4470	neg. Control	
1	AT5G38710	0.0048	0.9804	1.5237	0.0427	0.4470	neg. Control	
2	AT4G35460	0.0058	0.9631	1.5093	0.0195	0.1562	neg. control	
2	AT4G35460	0.0054	0.9770	1.5781	0.0195	0.1562	neg. control	
2	AT4G35460	0.0050	0.9596	2.0194	0.0195	0.1562	neg. control	
2	AT4G35460	0.0061	0.9570	1.4659	0.0195	0.1562	neg. control	
2	AT4G37930	0.0051	0.9685	1.3607	0.0142	0.1357	Reduced growth at 17 °C	Rep 2 missing
2	AT4G37930	NaN	NaN	NaN	0.0142	0.1357	Reduced growth at 17 °C	Rep 2 missing
